GENESIS-Tabelle: 12521-0001
Ausländer: Deutschland, Stichtag, Geschlecht/Altersjahre/;;;
Familienstand;;;
Ausländerstatistik;;;
Deutschland;;;
Ausländer (Anzahl);;;
;Geschlecht;Geschlecht;Geschlecht
;männlich;weiblich;Insgesamt
30.09.1967;1208319;598334;1806653
30.09.1968;1257310;666919;1924229
30.09.1969;1519125;861936;2381061
30.09.1970;1884203;1092294;2976497
30.09.1971;2159684;1279027;3438711
30.09.1972;2197312;1329256;3526568
30.09.1973;2451498;1514702;3966200
30.09.1974;2530574;1596792;4127366
30.09.1975;2440092;1649502;4089594
30.09.1976;2325287;1623050;3948337
30.09.1977;2319787;1628491;3948278
30.09.1978;2319966;1661095;3981061
30.09.1979;2399442;1744394;4143836
30.09.1980;2619227;1834081;4453308
30.09.1981;2710196;1919533;4629729
30.09.1982;2708970;1957947;4666917
30.09.1983;2609531;1925332;4534863
30.09.1984;2499500;1864148;4363648
31.12.1985;2504858;1874084;4378942
31.12.1986;2576707;1935972;4512679
31.12.1987;2627728;2002490;4630218
31.12.1988;2466784;2022321;4489105
31.12.1989;2666469;2179413;4845882
31.12.1990;3011758;2330729;5342487
31.12.1991;3340889;2541378;5882267
31.12.1992;3719663;2776129;6495792
31.12.1993;3921481;2956636;6878117
31.12.1994;3945050;3045460;6990510
31.12.1995;4024385;3149481;7173866
31.12.1996;4078257;3235789;7314046
31.12.1997;4076962;3288871;7365833
31.12.1998;4026003;3293590;7319593
31.12.1999;4012003;3331588;7343591
31.12.2000;3959376;3337441;7296817
31.12.2001;3948518;3370110;7318628
31.12.2002;3926764;3408828;7335592
31.12.2003;3894781;3439984;7334765
31.12.2004;3498410;3218705;6717115
31.12.2005;3493799;3262011;6755810
31.12.2006;3475273;3275731;6751004
31.12.2007;3459799;3285080;6744879
31.12.2008;3441282;3286336;6727618
31.12.2009;3411832;3282944;6694776
31.12.2010;3442448;3311173;6753621
31.12.2011;3546660;3384236;6930896
31.12.2012;3711325;3502383;7213708
31.12.2013;3958619;3675009;7633628
31.12.2014;4264511;3888457;8152968
31.12.2015;4873294;4234599;9107893
31.12.2016;5429425;4609655;10039080
31.12.2017;5742180;4881760;10623940
31.12.2018;5872480;5042975;10915455
31.12.2019;6013925;5214370;11228300
31.12.2020;6102625;5329835;11432460
31.12.2021;6306795;5510995;11817790
31.12.2022;7005400;6378510;13383910
__________
Bis 31.12.1989: Früheres Bundesgebiet
© Statistisches Bundesamt (Destatis), 2023
Stand: 05.06.2023 / 19:26:47
