GENESIS-Tabelle: 12521-0002
Ausländer: Deutschland, Stichtag, Geschlecht/Altersjahre/;;;;
Familienstand, Ländergruppierungen/Staatsangehörigkeit;;;;
Ausländerstatistik;;;;
Deutschland;;;;
Ausländer (Anzahl);;;;
;;Geschlecht;Geschlecht;Geschlecht
;;männlich;weiblich;Insgesamt
31.12.2022;Insgesamt;7005400;6378510;13383910
31.12.2022;Europa;4748600;4573480;9322075
31.12.2022;EU-27 (seit 01.02.2020);2742140;2322375;5064515
31.12.2022;Drittstaaten zu EU-27 (seit 01.02.2020);4263260;4056135;8319395
31.12.2022;EU-28 (bis 31.01.2020);2795830;2353290;5149120
31.12.2022;Drittstaaten zu EU-28 (bis 31.01.2020);4209570;4025215;8234790
31.12.2022;EU-27 (bis 30.06.2013);2564510;2148290;4712800
31.12.2022;Drittstaaten zu EU-27 (bis 30.06.2013);4440890;4230220;8671110
31.12.2022;EU-25 (bis 31.12.2006);1830705;1568760;3399465
31.12.2022;Drittstaaten zu EU-25 (bis 31.12.2006);5174695;4809745;9984445
31.12.2022;EU-15 (bis 30.04.2004);1111630;922745;2034370
31.12.2022;Drittstaaten zu EU-15 (bis 30.04.2004);5893775;5455765;11349540
31.12.2022;EG-12 (bis 31.12.1994);1000405;809170;1809580
31.12.2022;Drittstaaten zu EG-12 (bis 31.12.1994);6004995;5569335;11574330
31.12.2022;EG-10 (bis 31.12.1985);822665;654015;1476680
31.12.2022;Drittstaaten zu EG-10 (bis 31.12.1985);6182735;5724490;11907230
31.12.2022;EG-9 (bis 31.12.1980);628020;487390;1115410
31.12.2022;Drittstaaten zu EG-9 (bis 31.12.1980);6377380;5891120;12268500
31.12.2022;EWG-6 (bis 31.12.1972);552840;437555;990390
31.12.2022;Drittstaaten zu EWG-6 (bis 31.12.1972);6452565;5940955;12393520
31.12.2022;Afrika;419015;291150;710165
31.12.2022;Nordafrika;140585;90560;231145
31.12.2022;Westafrika;128985;82180;211165
31.12.2022;Zentralafrika;31130;23430;54560
31.12.2022;Ostafrika;107635;82915;190550
31.12.2022;Südafrika;10675;12065;22740
31.12.2022;Amerika;154630;173520;328150
31.12.2022;Nordamerika;76675;63925;140600
31.12.2022;Mittelamerika und Karibik;22495;27810;50305
31.12.2022;Südamerika;55460;81785;137245
31.12.2022;Asien;1599330;1279710;2879035
31.12.2022;Vorderasien;910955;654070;1565020
31.12.2022;Süd- und Südostasien;301990;304585;606575
31.12.2022;Ost- und Zentralasien;386390;321050;707440
31.12.2022;Australien und Ozeanien;9815;7390;17205
31.12.2022;Gastarbeiterländer;2370630;2057280;4427910
31.12.2022;Gebiet des ehemaligen Jugoslawien;769240;689030;1458270
31.12.2022;Gebiet des ehemaligen Serbien und Montenegro;309685;280030;589715
31.12.2022;Gebiet der ehemaligen Sowjetunion;713145;1121605;1834750
31.12.2022;Gebiet der ehemaligen Tschechoslowakei;62375;68635;131010
31.12.2022;Vereinigtes Königreich einschl.brit.Überseegebiete;54020;31260;85275
__________
Bis 31.12.1989: Früheres Bundesgebiet
© Statistisches Bundesamt (Destatis), 2023
Stand: 05.06.2023 / 19:32:39
