GENESIS-Tabelle: 12521-0004
Ausländer: Deutschland, Stichtag, Geschlecht, Altersjahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Migrantengeneration, Ländergruppierungen/Staatsangehörigkeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ausländerstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ausländer (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre
;;;;unter 1 Jahr;1-Jährige;2-Jährige;3-Jährige;4-Jährige;5-Jährige;6-Jährige;7-Jährige;8-Jährige;9-Jährige;10-Jährige;11-Jährige;12-Jährige;13-Jährige;14-Jährige;15-Jährige;16-Jährige;17-Jährige;18-Jährige;19-Jährige;20-Jährige;21-Jährige;22-Jährige;23-Jährige;24-Jährige;25-Jährige;26-Jährige;27-Jährige;28-Jährige;29-Jährige;30-Jährige;31-Jährige;32-Jährige;33-Jährige;34-Jährige;35-Jährige;36-Jährige;37-Jährige;38-Jährige;39-Jährige;40-Jährige;41-Jährige;42-Jährige;43-Jährige;44-Jährige;45-Jährige;46-Jährige;47-Jährige;48-Jährige;49-Jährige;50-Jährige;51-Jährige;52-Jährige;53-Jährige;54-Jährige;55-Jährige;56-Jährige;57-Jährige;58-Jährige;59-Jährige;60-Jährige;61-Jährige;62-Jährige;63-Jährige;64-Jährige;65-Jährige;66-Jährige;67-Jährige;68-Jährige;69-Jährige;70-Jährige;71-Jährige;72-Jährige;73-Jährige;74-Jährige;75-Jährige;76-Jährige;77-Jährige;78-Jährige;79-Jährige;80-Jährige;81-Jährige;82-Jährige;83-Jährige;84-Jährige;85-Jährige;86-Jährige;87-Jährige;88-Jährige;89-Jährige;90-Jährige;91-Jährige;92-Jährige;93-Jährige;94-Jährige;95 Jahre und mehr;Alter unbekannt
31.12.2022;Insgesamt;2. Generation (Geburt in Deutschland);männlich;36645;49575;48420;47080;44525;41045;37840;22400;15715;11765;9430;7725;6885;6130;6270;6185;5905;5835;7695;7740;7540;7600;8070;17010;17185;18125;17100;15920;16055;16230;16060;14975;14455;14105;13120;11930;10250;9415;9330;9790;11380;12220;12200;11195;10685;10330;10620;10795;10395;8915;7760;6510;5065;4230;3580;3315;2745;2225;1880;1550;1215;960;865;765;680;660;605;590;540;555;545;510;560;495;520;490;480;355;360;300;270;255;205;215;130;145;120;110;70;60;55;55;30;30;35;160;-
31.12.2022;Insgesamt;2. Generation (Geburt in Deutschland);weiblich;34865;46795;45800;44500;41955;39135;36005;20960;15015;11340;8765;7270;6430;5835;5995;5930;5470;5530;7175;7350;7135;6950;7575;15895;15965;16400;15425;14595;14240;14240;13690;12435;12330;11735;10780;9565;8275;7465;7510;7810;9005;9335;9355;8730;7985;7975;8455;8515;8375;7355;6450;5360;4120;3285;2840;2620;2245;1800;1490;1255;920;715;595;550;535;500;475;505;485;460;490;465;445;400;360;295;290;185;165;150;115;120;95;80;75;95;75;80;60;50;60;50;70;70;60;585;-
31.12.2022;Insgesamt;1. Generation (Geburt im Ausland);männlich;8245;14005;18475;21805;26145;31180;35300;47195;53935;55230;58125;57115;58685;59035;58980;56590;58510;58775;61250;60615;69025;79370;95285;109150;115425;124145;128875;134795;137225;137760;141270;142195;147220;144890;143760;138705;134260;132070;126020;121305;118890;114560;116985;112190;109630;107525;105565;103885;102205;98585;97395;94965;94605;91975;87900;80375;78305;75895;72985;67160;62485;55355;54980;48305;45080;42265;41065;36410;31355;27840;27480;26005;29195;29115;28885;28280;25360;21575;19880;18085;17805;15790;15615;13550;11740;9525;7795;5990;5355;4395;3195;2445;2040;1475;1110;4405;-
31.12.2022;Insgesamt;1. Generation (Geburt im Ausland);weiblich;7720;13345;17495;20910;24590;28895;33265;44010;50595;51530;53835;53050;53995;54135;53670;49450;47975;45930;46915;52285;58000;64020;71760;76460;84415;93675;102115;107780;111220;114940;118305;121715;125195;125345;125995;123070;121225;120090;117545;116335;113980;111585;112425;108305;105520;103415;101160;99495;98585;95965;93505;90880;88965;84320;80530;73085;70515;68020;64870;60070;57260;52600;53625;47965;45050;42250;42890;42110;41580;38780;40070;36330;39755;36695;33685;31210;27105;22960;20415;17630;16700;14920;15005;12750;11320;9725;7635;6245;5050;4230;3465;2620;2475;1775;1420;5855;-
31.12.2022;Europa;2. Generation (Geburt in Deutschland);männlich;18895;24490;23885;22210;20635;18035;16880;13930;10525;8230;6485;5385;4855;4495;4705;4640;4355;4400;6080;6170;6230;6410;6960;15880;16150;17050;16195;15125;15165;15315;15210;14195;13880;13575;12620;11485;9820;9090;9050;9500;11045;11875;11905;10925;10455;10135;10430;10665;10200;8765;7605;6365;4935;4105;3465;3200;2650;2125;1775;1465;1135;890;790;705;620;590;540;525;465;480;460;440;490;425;465;435;435;335;350;290;265;245;200;210;130;135;115;105;65;55;50;50;25;30;35;140;-
31.12.2022;Europa;2. Generation (Geburt in Deutschland);weiblich;17815;23040;22430;20880;19195;17305;16185;12855;10005;7925;6015;5045;4565;4260;4415;4440;4090;4150;5655;5870;5915;5890;6590;14960;15115;15675;14725;13980;13595;13630;13135;11910;11930;11395;10440;9265;8045;7280;7335;7630;8815;9200;9195;8590;7855;7880;8330;8420;8255;7245;6345;5260;4025;3195;2760;2530;2135;1710;1410;1180;870;660;545;510;505;460;425;470;450;415;440;420;410;360;330;275;270;175;155;145;110;110;90;75;60;85;70;70;55;45;55;45;65;60;50;540;-
31.12.2022;Europa;1. Generation (Geburt im Ausland);männlich;5355;11010;13835;15900;18875;22495;24700;27475;31425;32585;34265;34085;35925;36440;35785;33230;32870;32450;34055;31100;35485;40175;45085;47735;52815;56795;60545;64820;68895;71750;76255;79910;83010;85260;86920;86025;85635;84510;82930;81415;80620;80700;81945;82045;81425;81400;81515;81030;80690;78480;77690;76600;75135;74700;71205;65435;64040;61845;59730;55020;50780;45450;44770;39800;36970;34795;34205;30225;26025;23130;23095;22265;25455;26040;26080;25630;23065;19665;18150;16590;16340;14530;14220;12430;10720;8635;6980;5340;4830;3950;2805;2115;1750;1240;910;3560;-
31.12.2022;Europa;1. Generation (Geburt im Ausland);weiblich;5005;10490;13005;15140;17855;21065;23395;25600;29680;30935;32210;32420;33865;34475;34085;31335;30565;29265;30310;33895;36995;40400;44390;46775;50890;55440;59010;62550;66005;68050;71355;75485;78365;80525;82515;82250;82295;81485;81495;81735;80415;80650;81225;80440;79280;78440;77830;77250;77255;75600;74105;72375;69975;66960;63735;58085;56420;54200;52025;47965;45815;42520;43280;39160;36890;34645;35860;35625;35830;33790;35235;32455;35570;33270;30570;28365;24795;20835;18665;16050;15130;13545;13490;11650;10255;8765;6885;5560;4505;3780;3035;2310;2135;1555;1190;4855;-
31.12.2022;EU-27 (seit 01.02.2020);2. Generation (Geburt in Deutschland);männlich;11275;16845;16905;16435;15695;13795;12765;10050;7200;5285;3845;2950;2380;2065;2050;1885;1720;1710;2265;2410;2505;2660;2770;4915;4995;5350;5020;4720;4730;4805;4985;4725;4690;4510;4380;4085;3845;3740;3880;4130;4620;4805;4680;4310;4305;4405;4685;4930;5285;5010;4785;4330;3785;3355;2970;2820;2365;1925;1620;1335;1020;780;685;620;545;495;470;445;405;425;405;370;425;365;415;375;385;290;310;255;230;215;170;175;105;120;85;90;55;45;40;45;20;25;35;130;-
